Order_ID,Date,Salesperson,Customer_Name,City,State,Spice_Name,Category,Quantity_KG,Price_Per_KG,Total_Amount,Cost_Per_KG,Profit
MM001,24-Jan-25,Priya Patel,Taj Restaurant,Mumbai,Maharashtra,Turmeric Powder,Ground Spices,25.00,180.00,"4,500.00",120,"1,500.00"
MM002,24-Jan-25,Amit Kumar,Spice Garden Cafe,Pune,Maharashtra,Red Chili Powder,Ground Spicessdfsdf,15.00,220.00,"3,300.00",150,"1,050.00"
MM003,24-Jan-25,Sunita Singh,Royal Kitchen,Mumbai,Maharashtra,Garam Masala,Spice Blends,10.00,450.00,"4,500.00",300,"1,500.00"
MM004,24-Jan-25,Priya Patel,Maharaja Dhaba,Nashik,Maharashtra,Cumin Seeds,Whole Spices,30.00,160.00,"4,800.00",110,"1,500.00"
MM005,24-Jan-25,Ramesh Gupta,Bombay Bites,Mumbai,Maharashtra,Coriander Powder,Ground Spices,20.00,140.00,"2,800.00",95,900
MM006,24-Jan-25,Amit Kumar,Sagar Restaurant,Pune,Maharashtra,Black Pepper,Whole Spices,5.00,800.00,"4,000.00",600,"1,000.00"
MM007,24-Jan-25,Sunita Singh,Krishna Cafe,Nagpur,Maharashtra,Cardamom,Whole Spices,2.00,2500.00,"5,000.00","2,000.00","1,000.00"
MM008,24-Feb-25,Priya Patel,Golden Spoon,Mumbai,Maharashtra,Turmeric Powder,Ground Spices,35.00,180.00,"6,300.00",120,"2,100.00"
MM009,24-Feb-25,Ramesh Gupta,Pune Palace,Pune,Maharashtra,Biryani Masala,Spice Blends,12.00,380.00,"4,560.00",250,"1,560.00"
MM010,24-Feb-25,Amit Kumar,Marathi Mandir,Pune,Maharashtra,Red Chili Powder,Ground Spices,28.00,220.00,"6,160.00",150,"1,960.00"
MM011,24-Feb-25,,Deccan Delights,Pune,Maharashtra,Mustard Seeds,Whole Spices,18.00,120.00,"2,160.00",80,720
MM012,24-Feb-25,Priya Patel,Mumbai Masala,Mumbai,Maharashtra,Garam Masala,Spice Blends,8.00,450.00,"3,600.00",300,"1,200.00"
MM013,24-Feb-25,Ramesh Gupta,Nashik Nosh,Nashik,Maharashtra,Cumin Seeds,Whole Spices,25.00,160.00,"4,000.00",110,"1,250.00"
MM014,24-Feb-25,,Spicy Affairs,Pune,Maharashtra,Black Pepper,Whole Spices,7.00,800.00,"5,600.00",600,"1,400.00"
MM015,24-Feb-25,Sunita Singh,Royal Kitchen,Mumbai,Maharashtra,Cinnamon Sticks,Whole Spices,3.00,1200.00,"3,600.00",900,900
MM016,24-Mar-25,Priya Patel,Aurangabad Eats,Aurangabad,Maharashtra,Turmeric Powder,Ground Spices,40.00,180.00,"7,200.00",120,"2,400.00"
MM017,24-Mar-25,Ramesh Gupta,Kolhapur Kitchen,Kolhapur,Maharashtra,Kolhapuri Masala,Spice Blends,15.00,350.00,"5,250.00",220,"1,950.00"
MM018,24-Mar-25,Amit Kumar,Solapur Spices,Solapur,Maharashtra,Red Chili Powder,Ground Spices,22.00,220.00,"4,840.00",150,"1,540.00"
MM019,24-Mar-25,Sunita Singh,,Nagpur,Maharashtra,Orange Peel Powder,Ground Spices,8.00,300.00,"2,400.00",200,800
MM020,24-Mar-25,Priya Patel,Mumbai Central,Mumbai,Maharashtra,Chat Masala,Spice Blends,20.00,280.00,"5,600.00",180,"2,000.00"
MM021,24-Mar-25,Ramesh Gupta,Dhule Dining,Dhule,Maharashtra,Coriander Seeds,Whole Spices,32.00,130.00,"4,160.00",90,"1,280.00"
MM022,24-Apr-25,Amit Kumar,,Pune,Maharashtra,Fennel Seeds,Whole Spices,14.00,200.00,"2,800.00",140,840
MM023,24-Apr-25,Sunita Singh,Latur Lunch,Latur,Maharashtra,Fenugreek Seeds,Whole Spices,10.00,180.00,"1,800.00",120,600
MM024,24-Apr-25,Priya Patel,Thane Tiffin,Thane,Maharashtra,Sambhar Masala,Spice Blends,18.00,320.00,"5,760.00",200,"2,160.00"
MM025,24-Apr-25,Ramesh Gupta,Sangli Sweets,Sangli,Maharashtra,Turmeric Powder,Ground Spices,30.00,180.00,"5,400.00",120,"1,800.00"
MM026,24-Apr-25,Amit Kumar,Satara Snacks,Satara,Maharashtra,Red Chili Powder,Ground Spices,26.00,220.00,"5,720.00",150,"1,820.00"
MM027,24-Apr-25,Sunita Singh,Ahmednagar Appetite,Ahmednagar,Maharashtra,Cumin Seeds,Whole Spices,35.00,160.00,"5,600.00",110,"1,750.00"
MM028,24-Apr-25,Priya Patel,Beed Bites,Beed,Maharashtra,Black Mustard Seeds,Whole Spices,12.00,150.00,"1,800.00",100,600
MM029,24-May-25,Ramesh Gupta,Jalgaon Junction,Jalgaon,Maharashtra,Banana Powder,Ground Spices,6.00,400.00,"2,400.00",280,720
MM030,24-May-25,Amit Kumar,Akola Appetite,Akola,Maharashtra,Garam Masala,Spice Blends,14.00,450.00,"6,300.00",300,"2,100.00"
MM031,24-May-25,Sunita Singh,Wardha Wonders,Wardha,Maharashtra,Bay Leaves,Whole Spices,4.00,600.00,"2,400.00",450,600
MM032,24-May-25,Priya Patel,Yavatmal Yummy,Yavatmal,Maharashtra,Star Anise,Whole Spices,2.00,1000.00,"2,000.00",750,500
MM033,24-May-25,Ramesh Gupta,Buldhana Bites,Buldhana,Maharashtra,Asafoetida,Ground Spices,1.00,3000.00,"3,000.00","2,200.00",800
MM034,24-May-25,Amit Kumar,Washim Wok,Washim,Maharashtra,Turmeric Powder,Ground Spices,28.00,180.00,"5,040.00",120,"1,680.00"
MM035,24-May-25,Sunita Singh,Hingoli Kitchen,Hingoli,Maharashtra,Red Chili Powder,Ground Spices,24.00,220.00,"5,280.00",150,"1,680.00"
MM036,24-May-25,Priya Patel,Nanded Nosh,Nanded,Maharashtra,Pav Bhaji Masala,Spice Blends,16.00,300.00,"4,800.00",190,"1,760.00"
MM037,24-Jun-25,Ramesh Gupta,Parbhani Palace,Parbhani,Maharashtra,Coriander Powder,Ground Spices,22.00,140.00,"3,080.00",95,990
MM038,24-Jun-25,Amit Kumar,Jalna Journey,Jalna,Maharashtra,Cumin Powder,Ground Spices,19.00,190.00,"3,610.00",130,"1,140.00"
MM039,24-Jun-25,Sunita Singh,Osmanabad Organic,Osmanabad,Maharashtra,Black Pepper,Whole Spices,6.00,800.00,"4,800.00",600,"1,200.00"
